団体コード,団体名,自治体サイトのオープンデータページURL,オープンデータ掲載サイトのURL1,オープンデータ掲載サイトのURL1の名称,オープンデータ掲載サイトのURL1の概要,オープンデータ掲載サイトのURL2,オープンデータ掲載サイトのURL2の名称,オープンデータ掲載サイトのURL2の概要,オープンデータ掲載サイトのURL3,オープンデータ掲載サイトのURL3の名称,オープンデータ掲載サイトのURL3の概要,初回登録日,更新日,主な分類,API有無,ライセンス
012351,北海道石狩市,https://www.city.ishikari.hokkaido.jp/soshiki/kankyo/50838.html,https://www.harp.lg.jp/opendata/dataset/search/?s%5Barea_id%5D=50,（石狩市 ）北海道オープンデータポータル,北海道と北海道内市町村（北海道電子自治体共同システム参加団体）が共同でデータを登録できるポータルサイト。,https://environment-ishikari.hub.arcgis.com/,,,https://www.city.ishikari.hokkaido.jp/soshiki/kankyo/50838.html,石狩市環境情報等オープンデータポータルサイト,石狩市が保有する動植物・自然景観などの自然環境に関する情報、交通事故・不審者などの生活環境に関する情報等の地図情報を整理し、公開しています。,2022/7/7,,人口・世帯、農林水産業、統計、防災、運輸・観光、子育て、ゴミ・環境保全、区市町村の基本情報、行政活動情報、健康・医療、教育・文化・スポーツ・生活,無,CC-BY
012360,北海道北斗市,https://www.city.hokuto.hokkaido.jp/docs/8738.html,https://www.harp.lg.jp/opendata/dataset/search/?s%5Barea_id%5D=51,（北斗市 ）北海道オープンデータポータル,北海道と北海道内市町村（北海道電子自治体共同システム参加団体）が共同でデータを登録できるポータルサイト。,https://www.city.hokuto.hokkaido.jp/docs/8738.html,北斗市オープンデータ（北海道オープンデータプラットフォーム）,北海道と北海道内市町村（北海道電子自治体共同システム参加団体）が共同でデータを登録できるポータルサイト。,,,,2021/3/23,,人口・世帯、子育て、高齢者・介護、観光情報、防災,無,CC-BY
013030,北海道当別町,https://www.town.tobetsu.hokkaido.jp/soshiki/somu/39497.html,https://www.harp.lg.jp/opendata/dataset/search/?s%5Barea_id%5D=52,（当別町 ）北海道オープンデータポータル,北海道と北海道内市町村（北海道電子自治体共同システム参加団体）が共同でデータを登録できるポータルサイト。,,,,,,,2023/3/1,,人口・世帯、農林水産業、統計、防災、運輸・観光、子育て、ゴミ・環境保全、区市町村の基本情報、行政活動情報、健康・医療、教育・文化・スポーツ・生活,無,CC-BY
013048,北海道新篠津村,http://www.vill.shinshinotsu.hokkaido.jp/hotnews/detail/00000556.html,https://www.harp.lg.jp/opendata/dataset/search/?s%5Barea_id%5D=53,（新篠津村 ）北海道オープンデータポータル,北海道と北海道内市町村（北海道電子自治体共同システム参加団体）が共同でデータを登録できるポータルサイト。,,,,,,,2019/3/11,,人口・世帯、農林水産業、統計、防災、運輸・観光、子育て、ゴミ・環境保全、区市町村の基本情報、行政活動情報、健康・医療、教育・文化・スポーツ・生活,無,CC-BY
013315,北海道松前町,https://www.town.matsumae.hokkaido.jp/hotnews/detail/00002380.html,https://ckan.hoda.jp/organization/matsumae,,,,,,,,,2024/1/26,,,,
013323,北海道福島町,http://www.town.fukushima.hokkaido.jp/?p=15321,https://www.harp.lg.jp/opendata/dataset/search/?s%5Barea_id%5D=54,（福島町 ）北海道オープンデータポータル,北海道と北海道内市町村（北海道電子自治体共同システム参加団体）が共同でデータを登録できるポータルサイト。,http://www.town.fukushima.hokkaido.jp/?p=15321,福島町オープンデータ,福島町のオープンデータに関するページです。,,,,2022/12/12,,高齢者・介護、健康・医療,無,CC-BY
013331,北海道知内町,http://www.town.shiriuchi.hokkaido.jp/chosei/johokokai/opendata.html,http://www.town.shiriuchi.hokkaido.jp/chosei/johokokai/opendata.html,知内町オープンデータ,知内町のオープンデータに関するページです。,,,,,,,2021/2/15,,防災,無,CC-BY
013340,北海道木古内町,https://www.town.kikonai.hokkaido.jp/gyosei/joho/opendata.html,https://www.town.kikonai.hokkaido.jp/gyosei/joho/opendata.html,木古内町ホームページ,木古内町の情報を掲載,,,,,,,2023/1/19,,その他、,無,CC-BY
013374,北海道七飯町,https://www.town.nanae.hokkaido.jp/hotnews/detail/00006757.html,https://www.harp.lg.jp/opendata/dataset/search/?s%5Barea_id%5D=55,（七飯町 ）北海道オープンデータポータル,北海道と北海道内市町村（北海道電子自治体共同システム参加団体）が共同でデータを登録できるポータルサイト。,https://www.town.nanae.hokkaido.jp/hotnews/detail/00006757.html,七飯町公衆無線LAN（無料Wi-Fi）町内公共施設整備状況,災害時の通信環境整備を目的とし、公共施設に公衆無線LAN（無料Wi-Fi）を整備しています,,,,2023/1/19,,防災<br>施設,無,CC-BY
013439,北海道鹿部町,https://www.town.shikabe.lg.jp/soshiki/bosai_digital/gyomu/11/2463.html,https://www.harp.lg.jp/opendata/dataset/search/?s%5Barea_id%5D=56,（鹿部町 ）北海道オープンデータポータル,北海道と北海道内市町村（北海道電子自治体共同システム参加団体）が共同でデータを登録できるポータルサイト。,https://www.town.shikabe.lg.jp/soshiki/bosai_digital/gyomu/11/2463.html,鹿部町オープンデータ,鹿部町のオープンデータ,,,,2024/2/1,,人口・世帯、農林水産業、統計、防災、運輸・観光、子育て、ゴミ・環境保全、区市町村の基本情報、行政活動情報、健康・医療、教育・文化・スポーツ・生活,無,CC-BY
013455,北海道森町,https://www.town.hokkaido-mori.lg.jp/soshiki/somu/5/1/index.html,https://www.harp.lg.jp/opendata/dataset/search/?s%5Barea_id%5D=57,（森町 ）北海道オープンデータポータル,北海道と北海道内市町村（北海道電子自治体共同システム参加団体）が共同でデータを登録できるポータルサイト。,https://www.town.hokkaido-mori.lg.jp/soshiki/somu/5/1/index.html,森町オープンデータカタログ,森町のオープンデータに関するページ,,,,,2025/8/13,人口・世帯、運輸・観光、社会保障・衛生、教育・文化・スポーツ・生活、司法・安全・環境、行財政、その他、,無,CC-BY
013463,北海道八雲町,https://www.town.yakumo.lg.jp/soshiki/seisaku/content0296.html,https://www.harp.lg.jp/opendata/dataset/search/?s%5Barea_id%5D=58,（八雲町 ）北海道オープンデータポータル,北海道と北海道内市町村（北海道電子自治体共同システム参加団体）が共同でデータを登録できるポータルサイト。,https://www.town.yakumo.lg.jp/soshiki/seisaku/content0296.html,八雲町オープンデータ,八雲町では、保有する公共データを二次利用可能な形で提供する「オープンデータ」に取り組んでいます。民間の様々なサービスに活用されることで、町民の利便性向上や地域活性化につなげていきたいと考えております。,http://www.town.yakumo.lg.jp/modules/jigyo/category0080.html,八雲町オープンデータの取り組み,八雲町では、保有する公共データを二次利用可能な形で提供する「オープンデータ」に取り組んでいます。民間の様々なサービスに活用されることで、町民の利便性向上や地域活性化につなげていきたいと考えております。,,,教育・文化・スポーツ・生活、司法・安全・環境、住民向け情報(暮らしの情報),有,CC-BY
013471,北海道長万部町,https://www.town.oshamambe.lg.jp/soshiki/3/5752.html,https://www.town.oshamambe.lg.jp/soshiki/3/5752.html,,,,,,,,,2023/3/13,,,,
013617,北海道江差町,https://www.hokkaido-esashi.jp/modules/chousei/content0396.html,,,,,,,,,,2023/2/27,,,,
013625,北海道上ノ国町,http://www.town.kaminokuni.lg.jp/hotnews/detail/00002625.html,https://www.harp.lg.jp/opendata/dataset/search/?s%5Barea_id%5D=59,（上ノ国町 ）北海道オープンデータポータル,北海道と北海道内市町村（北海道電子自治体共同システム参加団体）が共同でデータを登録できるポータルサイト。,,,,,,,2023/2/14,,人口・世帯、農林水産業、統計、防災、運輸・観光、子育て、ゴミ・環境保全、区市町村の基本情報、行政活動情報、健康・医療、教育・文化・スポーツ・生活,無,CC-BY
013633,北海道厚沢部町,https://www.town.assabu.lg.jp/page/5128.html,https://www.harp.lg.jp/opendata/dataset/search/?s%5Barea_id%5D=60,（厚沢部町 ）北海道オープンデータポータル,北海道と北海道内市町村（北海道電子自治体共同システム参加団体）が共同でデータを登録できるポータルサイト。,,,,,,,2023/3/13,,人口・世帯、農林水産業、統計、防災、運輸・観光、子育て、ゴミ・環境保全、区市町村の基本情報、行政活動情報、健康・医療、教育・文化・スポーツ・生活,無,CC-BY
013641,北海道乙部町,https://www.town.otobe.lg.jp/section/kikaku/a849440000000ydj.html,https://www.harp.lg.jp/opendata/dataset/search/?s%5Barea_id%5D=61,（乙部町 ）北海道オープンデータポータル,北海道と北海道内市町村（北海道電子自治体共同システム参加団体）が共同でデータを登録できるポータルサイト。,https://www.town.otobe.lg.jp/section/kikaku/a849440000000ydj.html,乙部町ホームページ,乙部町のオープンデータを公式ホームページで公開しています。,,,,2022/11/7,,防災,無,CC-BY
013676,北海道奥尻町,https://www.town.okushiri.lg.jp/hotnews/detail/00005446.html,https://www.town.okushiri.lg.jp/hotnews/detail/00005446.html,奥尻町公式ホームページ,奥尻町のオープンデータを公式ホームページで公開しています。 ,,,,,,,2021/3/10,,防災,無,CC-BY
013706,北海道今金町,https://www.town.imakane.lg.jp/gyousei/gyouseiinfo/post_3728.html,https://www.harp.lg.jp/opendata/dataset/search/?s%5Barea_id%5D=62,（今金町 ）北海道オープンデータポータル,北海道と北海道内市町村（北海道電子自治体共同システム参加団体）が共同でデータを登録できるポータルサイト。,,,,,,,2023/2/28,,人口・世帯、農林水産業、統計、防災、運輸・観光、子育て、ゴミ・環境保全、区市町村の基本情報、行政活動情報、健康・医療、教育・文化・スポーツ・生活,無,CC-BY
013714,北海道せたな町,https://www.town.setana.lg.jp/kurashi/cat1/,https://www.harp.lg.jp/opendata/dataset/search/?s%5Barea_id%5D=63,（せたな町 ）北海道オープンデータポータル,北海道と北海道内市町村（北海道電子自治体共同システム参加団体）が共同でデータを登録できるポータルサイト。,https://www.town.setana.lg.jp/kurashi/cat1/,せたな町オープンデータ,せたな町では、保有する公共データを二次利用可能な形で提供する「オープンデータ」に取り組んでいます。,,,,2020/12/2,,防災,無,CC-BY
