source_record_id,name,name_kana,name_ko,translation_source,translation_status,municipality,address,lat,lng,disposition,classification,reason,parent_record_id,parent_name
0000000075,釘抜地蔵（石像寺）,クギヌキジゾウ（シャクゾウジ）,쿠기누키지조(샤쿠조지),official_kana_transliteration,auto_needs_review,京都市上京区,京都府京都市上京区千本通り上立売上ル花車町503,35.033392,135.742213,primary,religious_site,name matched /寺|神社|神宮|天満宮|大社|地蔵|不動|観音|霊廟|墓所/,,
0000003730,京都府立文化芸術会館,キョウトフリツブンカゲイジュツカイカン,교토부립분카게이주쓰카이칸,official_kana_transliteration,auto_needs_review,京都市上京区,京都府京都市上京区寺町通広小路下ル東桜町1,35.022953,135.768850,excluded_non_primary,administrative_or_sports_facility,name matched /体育館|運動場|競技場|武道センター|運動施設|府民ホール|運動公園|文化芸術会館|こども文化会館|国際交流会館|国際センター|コンベンション|会議場/,,
0000000076,千本ゑんま堂（引接寺）,センボンエンマドウ（インジョウジ）,센본엔마도(인조지),official_kana_transliteration,auto_needs_review,京都市上京区,京都府京都市上京区千本通り鞍馬口下ル閻魔前町34,35.035111,135.740526,primary,religious_site,name matched /寺|神社|神宮|天満宮|大社|地蔵|不動|観音|霊廟|墓所/,,
0000004057,京都市出町駐車場,キョウトシデマチチュウシャジョウ,교토시데마치추우샤조,official_kana_transliteration,auto_needs_review,京都市上京区,京都府京都市上京区河原町通今出川上ル青龍町,35.030287,135.770041,excluded_non_primary,parking,name matched /駐車場|パーキング|くるっとパーク/,,
0000000056,梨木神社,ナシノキジンジャ,나시노키신사,official_kana_transliteration,auto_needs_review,京都市上京区,京都府京都市上京区寺町通広小路上ル染殿町,35.025090,135.767338,primary,religious_site,name matched /寺|神社|神宮|天満宮|大社|地蔵|不動|観音|霊廟|墓所/,,
0000006436,御所西 京都平安ホテル,ゴショニシ キョウトヘイアンホテル,고쇼니시 교토헤이안호테루,official_kana_transliteration,auto_needs_review,京都市上京区,京都府京都市上京区烏丸通上長者町上ル,35.024437,135.758896,excluded_non_primary,lodging_or_bathing,name matched /ホテル|旅館|民宿|ペンション|ロッジ|ゲストハウス|(^|[\s　])宿([\s　]|$)|小宿|お宿|宿泊所|青少年村|キャンプ場|温泉|足湯|スパ|spa|銭湯/,,
0000000080,宝鏡寺（人形の寺）,ホウキョウジ（ニンギョウノテラ）,호교지(닌교노테라),official_kana_transliteration,auto_needs_review,京都市上京区,京都府京都市上京区寺之内通堀川東入ル百々町547,35.034062,135.752714,primary,religious_site,name matched /寺|神社|神宮|天満宮|大社|地蔵|不動|観音|霊廟|墓所/,,
0000007317,西陣くらしの美術館 冨田屋,トンダヤ,톤다야,official_kana_transliteration,auto_needs_review,京都市上京区,京都府京都市上京区大宮通一条上ル,35.027438,135.748891,primary,museum_or_gallery,name matched /博物館|美術館|資料館|記念館|ミュージアム/,,
0000001092,天喜,テンキ,텐키,official_kana_transliteration,auto_needs_review,京都市上京区,京都府京都市上京区千本通今出川上ル上善寺町89,35.030612,135.742124,excluded_non_primary,commercial_business,commercial operation confirmed by description,,
0000007711,小宿 布屋,オヤド ヌノヤ,오야도 누노야,official_kana_transliteration,auto_needs_review,京都市上京区,京都府京都市上京区油小路丸太町上る米屋町281,35.018206,135.753516,excluded_non_primary,lodging_or_bathing,name matched /ホテル|旅館|民宿|ペンション|ロッジ|ゲストハウス|(^|[\s　])宿([\s　]|$)|小宿|お宿|宿泊所|青少年村|キャンプ場|温泉|足湯|スパ|spa|銭湯/,,
